#{"t_start": 1773360960.342477, "env_id": "BipedalWalker-v3"}
r,l,t
274.51028,947,1053.193561
275.680867,939,1055.849361
272.707856,954,1056.973756
274.992189,929,1058.148817
279.809151,897,1061.456778
274.585485,939,1062.713488
277.653707,917,1064.901902
277.630185,899,1066.801442
273.005869,957,1068.745327
275.261615,934,1069.699103
274.348597,952,1073.028191
274.163628,950,1074.021812
274.886224,933,1075.970477
278.132903,924,1076.955076
276.734809,907,1078.82982
276.452042,924,1080.778912
271.028187,982,1081.789726
278.559464,908,1084.589266
-44.90169,225,1084.823624
276.085335,926,1085.794411
278.164588,919,1087.832015
278.463662,922,1089.677065
277.95002,906,1091.650069
276.75158,919,1092.58673
276.309192,917,1094.48178
278.265295,909,1096.359423
273.024457,956,1098.520222
275.283089,943,1099.506626
275.222122,921,1101.453768
274.99044,924,1103.421307
278.583489,905,1104.359147
279.825909,899,1107.287187
281.900199,870,1108.184063
278.49792,896,1110.141011
277.172082,903,1111.07242
273.321185,950,1113.981381
45.918057,493,1114.488256
278.987742,910,1115.42773
277.845818,905,1117.404626
276.756997,936,1119.320216
277.327915,906,1121.490178
278.335488,901,1122.421447
278.55071,897,1124.48939
277.140082,908,1126.503286
273.466789,950,1127.530065
272.8051,956,1130.190405
275.354274,930,1132.5275
277.826984,892,1134.586842
279.727124,891,1135.503716
272.21426,969,1138.482217
277.884005,893,1139.43408
277.264802,911,1141.638758
275.510873,921,1143.702295
271.773422,975,1144.751113
277.737562,905,1146.609975
279.097949,896,1147.518963
276.085094,923,1150.41163
277.841706,886,1151.306499
277.887309,893,1153.174754
275.614114,917,1155.048748
276.235613,907,1156.937331
276.112987,921,1157.907892
275.550333,925,1158.84751
273.910606,931,1161.690992
273.93743,928,1162.631707
272.942052,948,1164.590909
276.587253,910,1166.460115
271.968402,952,1168.551535
277.736207,906,1169.472564
276.798491,905,1172.28695
279.312524,884,1173.189195
277.250262,914,1174.121427
279.807158,879,1176.010434
275.946131,916,1177.88526
275.701758,923,1179.798192
